liššá	lIŠá	liiŠán	liššáást	liššáin	lIŠáttáá	liššán	lIŠáh	lIŠái	liššáid	liššáid	lIŠáin	lIŠáguin	lIŠáittáá	iCá		
káigá	kááigá	kááigán	káigáást	káigáin	kÁigáttáá	káigán	kÁigáh	kÁigái	káigáid	káigáid	káigáin	kÁigáiguin	kÁigáittáá	áiCá	T	
vuáisá	vUÁisá	vUÁisán	vuáisáást	vuáisáin	vuÁisáttáá	vuáisán	vUÁisáh	vUÁisái	vUÁisáid	vuáisáid	vUÁisáin	vuÁisáiguin	vuÁisáittáá	uáiCá	T	
nollá	noLá	nooLán	nolláást	nolláin	nOLáttáá	nollán	nOLáh	nOLái	nolláid	nolláid	nOLáin	nOLáiguin	nOLáittáá	oCá	T	
hommá	hoMá	hooMán	hommáást	hommáin	hOMáttáá	hommán	hOMáh	hOMái	hommáid	hommáid	hOMáin	hOMáiguin	hOMáittáá	oCá	T	
torppá	tOrpá	toorpán	torppáást	torppáin	tOrpáttáá	torppán	tOrpáh	tOrpái	torppáid	torppáid	tOrpáin	tOrpáiguin	tOrpáittáá	oCá	T	
rottá	rOtá	rootán	rottáást	rottáin	rOtáttáá	rottán	rOtáh	rOtái	rottáid	rottáid	rOtáin	rOtáiguin	rOtáittáá	oCá	T	
sohvá	sOhvá	soohván	sohváást	sohváin	sOhváttáá	sohván	sOhváh	sOhvái	sohváid	sohváid	sOhváin	sOhváiguin	sOhváittáá	oCá	T	
rovvá	rová	rovván	rovást	rováin	rováttáá	rovván	rováh	rováj	rováid	rovááid	rováijn	rováguin	rováittáá	oCá		
poorá	poorá	poorán	poorást	pooráin	pooráttáá	poorán	pooráh	poorái	pooráid	pooráid	pooráin	pooráiguin	pooráittáá	ooCá	T	
loová	loová	loován	loovást	loováin	loováttáá	loován	loováh	loovái	loováid	loováid	loováin	loováiguin	loováittáá	ooCá	T	
luvdá	luuvdá	luuvdán	luuvdást	luuvdáin	lUvdáttáá	luvdán	lUvdáh/ luuvdáh	luuvdái / lUvdái	luuvdáid	luvdáid	luuvdáin	lUvdáguin	lUvdáittáá	uCá	T	
kukká	kUká	kuukán	kukkáást	kukkáin	kUkáttáá	kukkán	kUkáh	kUkái	kukkáid	kukkáid	kUkáin	kUkáiguin	kUkáittáá	uCá	T	
sukká	sUhá	suukán	suhháást	suhháin	sUháttáá	sukkán	sUháh	sUhái	suhháid	suhháid	sUháin	sUháiguin	sUháittáá	uCá	T	
juŋkká	jUŋká	juuŋkán	juŋkkáást	juŋkkáin	jUŋkáttáá	juŋkkán	jUŋkáh	jUŋkái	juŋkkáid	juŋkkáid	jUŋkáin	jUŋkáiguin	jUŋkáittáá	uCá	T	
rullá	ruLá	ruuLán	rulláást	rulláin	rULáttáá	rullán	rULáh	rULái	rulláid	rulláid	rULáin	rULáguin	rULáittáá	uCá	T	
urná	Urná	uurnán	urnáást	urnáin	Urnáttáá	urnán	Urnáh	Urnái	urnáid	urnáid	urnáin	Urnáiguin	Urnáittáá	uCá	T	
juná	juná	junán	junást	junáin	junáttáá	junán	junáh	junái	junáid	junáid	junáin	junáiguin	junáittáá	uCá	T	
tuvvá	tuVá	tuuVán	tuvváást	tuvváin	tUVáttáá	tuvván	tUVáh	tUVái	tuvváid	tuvváid	tuvváin	tUVáiguin	tUVáittáá	uCá	T	
čuhčá	čuuvčá	čuuhčán	čuuvčást	čuvččáin	čUvčáttáá	čuhčán	čUvčáh	čUvčái	čuuvčáid	čuvččáid	čuuvčáin	čUvčáiguin	čUvčáittáá	uCá	T	
fáddá	fáádá	fáádán	fáádást	fáddáin	fÁdáttáá	fáddán	fáádáh	fáádái / fÁdái	fáádáid	fáddáid	fáádáin	fÁdáiguin	fÁdáittáá	áCá	T	
lággá	láágá	láágán	lággáást	lággáin	lÁgáttáá	lággán	láágáh	láágái	láágáid	lággáid	láágáin	lÁgáiguin	lÁgáittáá	áCá	T	
hágá	hágá	hágán	hágást	hágáin	hágáttáá	hágán	hágáh	hágái	hágáid	hágáid	hágáin	hágáiguin	hágáittáá	áCá	T	
kámppá	kÁmpá	káámpán	kámppáást	kámppáin	kÁmpáttáá	kámppán	kÁmpáh	kÁmpái	kámppáid	kámppáid	kÁmpáin	kÁmpáiguin	kÁmpáittáá	áCá		
ráksá	ráávsá	rááksán	ráávsást	rávssáin	rÁvsáttáá	ráksán	rÁvsáh	rÁvsái / ráávsái	ráávsáid	rávssáid	ráávsáin	rÁvsáiguin	rÁvsáittáá	áCá	T	
vársá	vÁrsá	váársán	vársáást	vársáin	vÁrsáttáá	vársán	vÁrsáh	vÁrsái	vársáid	vársáid	vársáin	vÁrsáiguin	vÁrsáittáá	áCá	T	
lássá	lááSá	lááSán	lááSást	lássáin	lÁSáttáá	lássán	lááSáh	lááSái/láSái	lááSáid	lássáid	lááSáin	lÁSáguin	lÁSáittáá	áCá	T	
pálstá	pÁlstá	páálstán	pálstáást	pálstáin	pÁlstáttáá	pálstán	pÁlstáh	pÁlstái	pálstáid	pálstáid	pÁlstáin	pÁlstáiguin	pÁlstáittáá	áCá	T	
kárttá	kÀrtá	káártán	kárttáást	kárttáin	kÁrtáttáá	kárttán	kÁrtáh	kÁrtái	kárttáid	kárttáid	kÁrtáin	kÁrtáiguin	kÁrtáittáá	áCá	T	
kuáddá	kUÁdá	kUÁdán	kUÁdást	kuáddáin	kuÁdáttáá	kuáddán	kUÁdáh	kUÁdái/kuádái	kUÁdáid	kuáddáid	kUÁdáin	kuÁdáiguin	kuÁdáittáá	uáCá	T	
puánnjá	puánjá	puánnján	puánjást	puánjáin	puánjáttáá	puánnján	puánjáh	puánjáj	puánjáid	puánjááid	puánjáijn	puánjáguin	puánjáittáá	uáCá		
sUÁJá	sUÁjá	sUÁJán	sUÁjáást	sUÁjáin	suÁjáttáá	sUÁiján	sUÁjáh	suájái	suájáid	suájáid	sUÁjáin	suÁjáiguin	suÁjáittáá	uáCá	T	
vuárkká	vUÁrhá	vUÁrkán	vUÁrhást	vuárháin	vuÁrháttáá	vuárkkán	vUÁrháh	vUÁrhái / vuárhái	vUÁrháid	vuárháid	vUÁrháin	vuÁrháiguin	vuÁrháittáá	uáCá	T	
luákká	luáká	luákkán	luákást	luákáin	luákáttáá	luákkán	luákáh	luákáj	luákáid	luákááid	luákáijn	luákáguin	luákáittáá	uáCá		
kuávská	kUÁvská	kUÁvskán	kUÁvskást	kuávskáin	kuÁvskáttáá	kuávskán	kUÁvskáh	kUÁvskái/kuávskái	kUÁvskáid	kuávskáid	kUÁvskáin	kuÁvskáguin	kuÁvskáittáá	uáCá	T	
kuáhčá	kUÁvčá	kUÁhčán	kUÁvčást	kuávččáin	kuÁvčáttáá	kuáhčán	kUÁvčáh	kUÁvčái/kuávčái	kUÁvčáid	kuávččáid	kUÁvčáin	kuÁvčáiguin	kuÁvčáittáá	uáCá	T	
sááhá	sááhá	sááhán	sááhást	sááháin	sááháttáá	sááhán	sááháh	sááhái	sááháid	sááháid	sááháin	sááháiguin	sááháittáá	ááCá	T	
pááJá	páájá	pááJán	páájást	páájáin	páájáttáá	pááiján	páájáh	páájái	páájáid	páájáid	páájáin	páájáiguin	páájáittáá	ááCá	T	
čááNá	čááná	čááNán	čáánást	čáánáin	čÁnáttáá	čáánnán	čáánáh	čáánái	čáánáid	čáánáid	čáánáin	čÁnáiguin	čÁnáittáá	ááCá	T	
čIÄHá	čIÄVá	čIÄHán	čIÄVást	čiävváin	čiÄVáttáá	čiähhán	čIÄVáh	čIÄVái / čiäVái	čIÄVáid	čiäVVáid	čIÄVáin	čiÄVáiguin	čIÄVáittáá	iäCá	T	
kiälkká	kIÄlhá	kIÄlkán	kIÄlhást	kiälháin	kiÄlháttáá	kiälkkán	kIÄlháh	kIÄlhái/kiälhái	kIÄlháid	kiälháid	kIÄlháin	kiÄlháiguin	kiÄlháittáá	iäCá	T	
miärkká	mIÄrhá	mIÄrkán	mIÄrhást	miärháin	miÄrháttáá	miärkkán	mIÄrháh	mIÄrhái/miärhái	mIÄrháid	miärháid	mIÄrháin	miÄrháguin	miÄrháittáá	iäCá	T	
riävská	rIÄvská	rIÄvskán	rIÄvskást	riävskáin	riÄvskáttáá	riävskán	riävskáh	riävskái	riävskáid	riävskáid	rIÄvskáin	riÄvskáiguin	riÄvskáittáá	iäCá	T poikkeuksellinentaivutus	
riätká	rIÄđhá	rIÄtkán	rIÄđhást	riäđháin	riÄđháttáá	riätkán	rIÄđháh	rIÄđhái/riäđhái	rIÄđháid	riäđháid	rIÄđháin	riÄđháiguin	riÄđháittáá	iäCá	T	
